key,press_time,release_time,platform_id,session_id,user_ids
'f',1.653421288923462e+18,1.653421289035048e+18,1,1,1
'u',1.653421289027513e+18,1.653421289131631e+18,1,1,1
'l',1.653421289259698e+18,1.653421289315755e+18,1,1,1
'l',1.653421289379684e+18,1.653421289467717e+18,1,1,1
Key.space,1.653421289579967e+18,1.653421289667633e+18,1,1,1
Key.shift,1.653421289739736e+18,1.653421289971657e+18,1,1,1
'C',1.653421289827609e+18,1.653421289955782e+18,1,1,1
'o',1.6534212902916e+18,1.653421290387787e+18,1,1,1
'a',1.65342129061956e+18,1.653421284747913e+18,1,1,1
'c',1.653421290763394e+18,1.653421290923449e+18,1,1,1
'h',1.653421290971685e+18,1.653421291083654e+18,1,1,1
Key.space,1.653421291219609e+18,1.653421291316471e+18,1,1,1
Key.shift,1.653421291315911e+18,1.653421291491559e+18,1,1,1
Key.backspace,1.653421291859645e+18,1.653421291923209e+18,1,1,1
Key.backspace,1.6534212920196e+18,1.653421292091492e+18,1,1,1
Key.backspace,1.653421292163487e+18,1.653421292243503e+18,1,1,1
Key.backspace,1.653421292323571e+18,1.653421292403522e+18,1,1,1
Key.backspace,1.653421292467552e+18,1.653421292555644e+18,1,1,1
Key.backspace,1.653421292619459e+18,1.653421292691595e+18,1,1,1
Key.shift,1.653421292891678e+18,1.653421294091626e+18,1,1,1
"""'""""'""",1.653421293835555e+18,1.653421293931553e+18,1,1,1
'o',1.653421294219545e+18,1.653421294299456e+18,1,1,1
'a',1.653421294403468e+18,1.653421287019777e+18,1,1,1
'c',1.65342129449946e+18,1.653421294155592e+18,1,1,1
'h',1.65342129464345e+18,1.653421294723513e+18,1,1,1
Key.space,1.653421294827454e+18,1.653421294915376e+18,1,1,1
Key.shift,1.653421294899485e+18,1.65342129505166e+18,1,1,1
'a',1.653421295147444e+18,1.653421290771019e+18,1,1,1
'r',1.653421295331361e+18,1.653421295411407e+18,1,1,1
't',1.65342129551549e+18,1.653421295611458e+18,1,1,1
'e',1.653421295651389e+18,1.653421295810731e+18,1,1,1
'r',1.653421295723474e+18,1.653421295842757e+18,1,1,1
Key.shift,1.653421296051545e+18,1.653421296435542e+18,1,1,1
"""'""""'""",1.653421296147329e+18,1.653421296162642e+18,1,1,1
Key.space,1.65342129665134e+18,1.653421296723344e+18,1,1,1
'm',1.653421296835339e+18,1.653421296875069e+18,1,1,1
'o',1.65342129716346e+18,1.653421297283337e+18,1,1,1
'v',1.653421297307406e+18,1.653421297403328e+18,1,1,1
'i',1.653421297427341e+18,1.653421297515343e+18,1,1,1
'e',1.653421297539468e+18,1.653421297651323e+18,1,1,1
"""comma""",1.65342129773144e+18,1.653421297795391e+18,1,1,1
Key.space,1.653421297875391e+18,1.653421297923336e+18,1,1,1
Key.shift,1.653421298059343e+18,1.653421298283096e+18,1,1,1
'I',1.653421298195991e+18,1.653421298275284e+18,1,1,1
Key.space,1.653421298387396e+18,1.653421298475262e+18,1,1,1
'f',1.653421298515405e+18,1.653421298666841e+18,1,1,1
